效果名	材质数	原 shader 列表	是否含未映射 shader	状态
BulletImpact_Psychophage	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Pyrovore	15	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Everguild/FX/Rays For Trail, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_Pyrovore OLD	16	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Everguild/FX/Rays For Trail, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_RandomShitGo	35	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply, Everguild/FX/Particle Premultiply Greyscale Coloring, Everguild/Matcap/Matcap Full Options, Everguild/Matcap/Matcap Full Options VAT, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_RiftCannon	13	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Rippergun	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Saboteur_DetonatorOnly	4	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_SaboteurExplosive	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Screamer-Killer	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Shuriken_Long	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Shuriken_Long_twinlink	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Shuriken_Pistol	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Shuriken_Short	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Shuriken_Short_twinlink	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sonic Weapon 1	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Sonic Weapon 1 Dual Pistol	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Sonic Weapon 1 Dual Pistol OLD	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Sonic Weapon 2	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sonic Weapon 2 Pistol	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sonic Weapon 2 Twinlink	22	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sonic Weapon 2 variant	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sororitas_Melta	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sororitas_MissileVolley	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Sororitas_MissileVolley_board_down	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Sororitas_MissileVolley_board_up	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Sororitas_MissileVolley_MoveAnim	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Sororitas_MultiMelta	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sororitas_MultiMelta_Junith	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Sororitas_SaintCelestine	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/FX/Distortion	否	OK
BulletImpact_Spore Launch	17	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Unlit UV scroll, Everguild/Wind Matcap, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Spore Launch 1	17	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Unlit UV scroll, Everguild/Wind Matcap, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_stormbolter_4shots	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_stormbolter_4shots_Logan_AA	11	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_stormbolter_6shots	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_tank_baneblade	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_tank_big	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_tank_huge	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_tank_small	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Burst Cannon	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Burst Cannon_short	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_FusionBlaster	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_Tau_FusionBlaster Dual	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_Tau_GravPulse	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Tau_IonAccelerator	20	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
BulletImpact_Tau_Missile 10x	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tau_Missile 3x	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tau_Plasma Cannon	19	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Blaster	11	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Bomb	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Carbine	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Carbine Dual	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Carbine Dual OLD	10	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Carbine OLD	10	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Drone Dual	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Pistol	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Rifle	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Pulse Rifle Dual	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_PulseARCcannon	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Rail Rifle	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Tau_Sniper Pulse Rifle	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Thunderfire	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Tyranid_Barblauncher	11	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Big	12	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Cannon	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Small	12	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Small_Dual	12	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Stranglethorn	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Tyranid_Stranglethorn_Dual	12	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_ValkyrieMissile	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Webber	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpactBurst_Blood	3	Legacy Shaders/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpactBurst_crowd	3	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
BulletTrail	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Shader Graphs/Fx_ParticleDissolve_apb, Universal Render Pipeline/Particles/Unlit	否	OK
BulletTrail_Single	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Shader Graphs/Fx_ParticleDissolve_apb, Universal Render Pipeline/Particles/Unlit	否	OK
BulletTrail_Stormraven	10	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletTrail_Stormraven_Single	10	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
CamouflageEffect	4	Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CamouflageEffect New	5	Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CantAttackEffect	6	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Card_Buff_Hand	3	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Card_Buff_Hand_Ork	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Card_Buff_Hand_SW	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Card_Buff_Sabotage_trigger	3	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Card_Buff_Tyranid	2	Universal Render Pipeline/Particles/Unlit	否	OK
CardDisappear	5	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
CardPrefab	11	Everguild/Cards/3D Card, Everguild/Cards/BlobShadow, Everguild/FX/Card Highlight And Shadow, Everguild/FX/Halo UV scroll, Sprites/Default, TextMeshPro/Distance Field, TextMeshPro/Distance Field Offset, Universal Render Pipeline/Particles/Unlit	是	OK
Chaos_Destroy_Brutal	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Alpha Blended, Mobile/Particles/Alpha Blended, Particles/Standard Unlit, Universal Render Pipeline/Particles/Simple Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Chronomancer_Buff	5	Everguild/FX/Extra Color, Everguild/FX/TrailShader_1, Universal Render Pipeline/Particles/Unlit	否	OK
CodexEffect	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CodexIdleEffect	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
ComboEffect	9	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
CompanionEffect	9	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Particle Shine Custom Vertex Streams, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
ConcussiveEffect	9	Mobile/Particles/Additive, Shader Graphs/Fx_ParticleDissolve_apb, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CoordinatedEngagement	22	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Cosmic Serpent	12	Everguild/Cards/Gem Crystal Glitter, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Cosmic Serpent_Secondary	12	Everguild/Cards/Gem Crystal Glitter, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
CreateCard	9	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard BlackLegion	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard DA	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Spiral Trail FX, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
CreateCard EC	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
CreateCard EC Elixir	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
CreateCard Gold	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard GSC	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard GSC 5x	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard Necron	9	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard Orks	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard Orks 1	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard Sabotage	9	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
CreateCard_Tau	12	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
CrueltyEffect	8	Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Cryptek_Stun	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Cut Axe SW	6	Everguild/FX/Extra Color, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut EC	6	Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut EC 3x	6	Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut EC Reverse	6	Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut EC sword 7x warlord	6	Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut Termie Lightning Claws	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut Wulfen SW	6	Everguild/FX/Extra Color, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut Wulfen SW Double	6	Everguild/FX/Extra Color, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cut Wulfen SW Reverse	6	Everguild/FX/Extra Color, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit	否	OK
Cuts Brutal	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Cuts Brutal_Warp Spider	4	Universal Render Pipeline/Particles/Unlit	否	OK
DaIrongobEffect	9	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Death Cult Strike	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Deathspinner Cut Effect	1	Shader Graphs/Doomweaver effect	否	OK
Debuff EC	11	Everguild/FX/Particle Shine Custom Vertex Streams, Particles/Standard Unlit, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Debuff_Mana_Tyranid	6	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
DeckBuff Grey	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff_BlackLegion	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff_Green	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
DeckBuff_Green 2	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff_GSC	4	UI/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff_MoveToTop	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
DeckBuff_Orks	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff_SW	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
DeckBuff_Tau	4	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
DeckBuff1	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Default Tap Floor	3	Universal Render Pipeline/Particles/Unlit	否	OK
Delightful Agonies Launch Projectile	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Delightful_Agonies_Projectile	8	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Duty Reset	8	Everguild/FX/Extra Color, Everguild/FX/FX Shine For Animation, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	是	OK
DutyEffect	7	Everguild/FX/Extra Color, Everguild/FX/FX Shine For Animation, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	是	OK
