file	card_id	name	faction	ev	textA	textB	gt_from_filename	werA	werB	cerA	cerB	agree	non_speech	needs_review
VO_Goff_Burna Boy - Youz likes it hot.ogg	GOF17	Burna Boy	Goff	line	You rascals!	Yous, Lachy-Tox!	Youz likes it hot	1.000		0.714		content-word		1
VO_Goff_Deff Dread - Iz stuck inside dis ting an dat makes me MAD.ogg	GOF33	Deff Dread	Goff	line	I stuck inside this thing and that makes me mad!	I'm stuck inside this thing and that makes me mad!	Iz stuck inside dis ting an dat makes me MAD	0.500		0.171		content-word		1
VO_Goff_Deffgun Loota - Shootin an lootin in dat order.ogg	GOF18	Deffgun Loota	Goff	line	Living and living in Deffgun Loota	Shipping and living in the order.	Shootin an lootin in dat order	0.833		0.880		content-word		1
VO_Goff_Deffkopta - There's no hidin from me rokkits.ogg	GOF19	Deffkopta	Goff	line	Please, now hide him from me, Rockets!	Please now hide him from me, Rockets!	There's no hidin from me rokkits	0.833		0.423		case-punct-only		
VO_Goff_Ghazghkull_CantDo.ogg	GOF3	Ghazghkull Thraka	Goff	cantdo	Meh, don't do.	Can't do.						content-word		1
VO_Goff_Ghazghkull_Concede.ogg	GOF3	Ghazghkull Thraka	Goff	concede	How's it going, wife, for a bit?  Need to get more boys.	I was going to go away for a bit. Need to get more boys.						content-word		1
VO_Goff_Ghazghkull_Greet.ogg	GOF3	Ghazghkull Thraka	Goff	greet	I'm Ghazghkull and I'll bring great snow.	I'm Casgo, and I'll bring great slaughter.						content-word		1
VO_Goff_Ghazghkull_Hurry.ogg	GOF3	Ghazghkull Thraka	Goff	hurry	So much to punch, so little time.	So much to punch, so little time!						case-punct-only		
VO_Goff_Ghazghkull_Intro.ogg	GOF3	Ghazghkull Thraka	Goff	intro	I'm the hand of Gork, the hand of Gork.	I'm the hand of Gork and Mork.						content-word		1
VO_Goff_Ghazghkull_Mirror.ogg	GOF3	Ghazghkull Thraka	Goff	mirror	Please, can I stop the universe from that?	We's gonna stomp the universe for that.						content-word		1
VO_Goff_Ghazghkull_Threat.ogg	GOF3	Ghazghkull Thraka	Goff	threat	Get closer.  Always hungry.	Get closer. Always hungry.						case-punct-only		
VO_Goff_Ghazghkull_attack.ogg	GOF3	Ghazghkull Thraka	Goff	attack	UGH!	Grr!						content-word		1
VO_Goff_Ghazghkull_death.ogg	GOF3	Ghazghkull Thraka	Goff	death	Grrrrrr!	*BRAAAAARGH*						content-word		1
VO_Goff_Ghazghkull_gen1.ogg	GOF3	Ghazghkull Thraka	Goff	gen1	There's more cunning than a grot, and more killing than a dread.	There's more cunning than a grot, and more killing than a dread.						exact		
VO_Goff_Ghazghkull_gen2.ogg	GOF3	Ghazghkull Thraka	Goff	gen2	I will turn the stars green.	I will turn the stars green.						exact		
VO_Goff_Ghazghkull_gen3.ogg	GOF3	Ghazghkull Thraka	Goff	gen3	Folks need to fight, like they need me to do.	Hawks need to fight like they need meat to eat.						content-word		1
VO_Goff_Ghazghkull_gen4.ogg	GOF3	Ghazghkull Thraka	Goff	gen4	We see Orcs, the one who's made to fight and win.	We's the Orcs, and we was made to fight and win!						content-word		1
VO_Goff_Ghazghkull_gen5.ogg	GOF3	Ghazghkull Thraka	Goff	gen5	Our world's burned in our boat prints.	Our world's burning my boot piece.						content-word		1
VO_Goff_Ghazghkull_gen6.ogg	GOF3	Ghazghkull Thraka	Goff	gen6	Get yourself lucky you still have teeth.	Cure yourself like you still have teeth.						content-word		1
VO_Goff_Ghazghkull_gen7.ogg	GOF3	Ghazghkull Thraka	Goff	gen7	Wave the lucky stick, McCurry!  Waaaaaah!	Wave to Lucky Stick, Makari! Waaaa!						content-word		1
VO_Goff_Ghazghkull_vsCalgar.ogg	GOF3	Ghazghkull Thraka	Goff	vscalgar	Robin cut, crashed and stomped, and arms still kicking.	I've been cut, crushed and stomped, and I'm still kicking.						content-word		1
VO_Goff_Ghazghkull_vsCommissar.ogg	GOF3	Ghazghkull Thraka	Goff	vscommissar	You should remind me of someone.	This reminds me of someone.						content-word		1
VO_Goff_Ghazghkull_vsKnightTitan.ogg	GOF3	Ghazghkull Thraka	Goff	vsknighttitan	Smash that thing that's crap, boys!	SMASH THAT THING TO SCRAP BOYS!						content-word		1
VO_Goff_Ghazghkull_vsMinka.ogg	GOF3	Ghazghkull Thraka	Goff	vsminka	You've seen nothing yet.	You've seen nothing yet!						case-punct-only		
VO_Goff_Ghazghkull_vsTBC1.ogg	GOF3	Ghazghkull Thraka	Goff	vstbc1	You thought she's good, you wee.	You thoughts is good, UV?						content-word		1
VO_Goff_Ghazghkull_wp.ogg	GOF3	Ghazghkull Thraka	Goff	wp	Good enemies is hard to find.	Good enemies is hard to find.						exact		
VO_Goff_Gorkanaut - No git can stops da fist of Gork.ogg	GOF38	Gorkanaut	Goff	line	No kid can stop Staphis of Gork!	No git can stop scaffish stuff gawk!	No git can stops da fist of Gork	0.500		0.240		content-word		1
VO_Goff_Grot - Yes boss yes boss.ogg	GOF4	Grot	Goff	line	Yes boss! Yes boss!	Yes, boss! Yes, boss!	Yes boss yes boss	0.000		0.000		case-punct-only		
VO_Goff_Grot Tank - Im drivin No IM drivin.ogg	GOF4	Grot	Goff	line	I'm driving! Yeah, I'm driving!	I'm driving. Yeah, I'm driving.	Im drivin No IM drivin	1.000		0.333		case-punct-only		
VO_Goff_Grukk_attack.ogg	GOF1	Grukk Face-Rippa	Goff	attack	Grr!	Ruff!						content-word		1
VO_Goff_Grukk_cantDo.ogg	GOF1	Grukk Face-Rippa	Goff	cantdo	Go do that!	Can't do that.						content-word		1
VO_Goff_Grukk_concede.ogg	GOF1	Grukk Face-Rippa	Goff	concede	I don't want to kill you just yet. Let's scrap again, another day.	Don't wanna kill you just yet. Let's scrap again. Another day.						content-word		1
VO_Goff_Grukk_death.ogg	GOF1	Grukk Face-Rippa	Goff	death	C'mon!	*BRAWR*						content-word		1
VO_Goff_Grukk_gen1.ogg	GOF1	Grukk Face-Rippa	Goff	gen1	Don't you forget who's in charge.	Don't you forget who's in charge.						exact		
VO_Goff_Grukk_gen2.ogg	GOF1	Grukk Face-Rippa	Goff	gen2	You think you're better? Come and have a go then!	Yous think you're better. Come and have a go then!						content-word		1
VO_Goff_Grukk_gen3.ogg	GOF1	Grukk Face-Rippa	Goff	gen3	Me's too tough for death.	Me's too tough for death.						exact		
VO_Goff_Grukk_gen4.ogg	GOF1	Grukk Face-Rippa	Goff	gen4	There's some fighting to do!	There's some fighting to do!						exact		
VO_Goff_Grukk_gen5.ogg	GOF1	Grukk Face-Rippa	Goff	gen5	Here we go, here we go, here we go.	Here we go, here we go, here we go.						exact		
VO_Goff_Grukk_gen6.ogg	GOF1	Grukk Face-Rippa	Goff	gen6	What gags? What takes? What stumbags?	What gangs, what tanks, what stumpeys!						content-word		1
VO_Goff_Grukk_gen7.ogg	GOF1	Grukk Face-Rippa	Goff	gen7	WOOOOOOO	WOOOOOOAAAAAAA!						content-word		1
VO_Goff_Grukk_greet.ogg	GOF1	Grukk Face-Rippa	Goff	greet	You better be ready!	You better be ready!						exact		
VO_Goff_Grukk_hurry.ogg	GOF1	Grukk Face-Rippa	Goff	hurry	I'm bored. Where's the fightin'?	I'm bored. Where's the fight heading?						content-word		1
VO_Goff_Grukk_intro.ogg	GOF1	Grukk Face-Rippa	Goff	intro	Let's get some action, boys!	Let's get some action, boys!						exact		
VO_Goff_Grukk_mirror.ogg	GOF1	Grukk Face-Rippa	Goff	mirror	I'm ready for a scrap!	I'm ready for a scrap!						exact		
VO_Goff_Grukk_tbc.ogg	GOF1	Grukk Face-Rippa	Goff	tbc	Time to go all kill-y-like!	Time to go all killy-like!						content-word		1
VO_Goff_Grukk_threat.ogg	GOF1	Grukk Face-Rippa	Goff	threat	Let's see how smart you are without your head.	Let's see how smart you are without your head.						exact		
VO_Goff_Grukk_vsAbaddon.ogg	GOF1	Grukk Face-Rippa	Goff	vsabaddon	CRUSH THEM SPIKEY LADS BOYS!	Crush them spiky lads, boys!						content-word		1
VO_Goff_Grukk_vsNemesor.ogg	GOF1	Grukk Face-Rippa	Goff	vsnemesor	We got butt boys here! Time for some good scrapping!	We got Bop Boys here! Time for some good scrapping!						content-word		1
VO_Goff_Grukk_vsTyranid.ogg	GOF1	Grukk Face-Rippa	Goff	vstyranid	Bug boys are back on the menu, lads!	Bug boys are back on the menu, lads!						exact		
VO_Goff_Grukk_vsUM.ogg	GOF1	Grukk Face-Rippa	Goff	vsum	Take them blue helmets, boys. They bring good orky luck.	Take them blue helmets, boys. They bring good orky luck.						exact		
VO_Goff_Grukk_wp.ogg	GOF1	Grukk Face-Rippa	Goff	wp	You got a lot of Orky, know what's?	You got a lot of orky know-whats.						content-word		1
VO_Goff_Gunwagon - Big dakka's da bestest dakka.ogg	GOF36	Gunwagon	Goff	line	Big Decker is the bestest Decker!	Big Deckers the besties, Naka!	Big dakka's da bestest dakka	0.800		0.522		content-word		1
VO_Goff_Hornhelmz Boy - Charge em boyz jus like der Horned Bull.ogg	GOF12	Hornhelmz Boy	Goff	line	Charge on boys, just like a home bow.	Charge him, boys! Just like the hornbow!	Charge em boyz jus like der Horned Bull	0.750		0.406		content-word		1
VO_Goff_Killa Kan - Which button makes this fing go.ogg	GOF24	Killa Kan	Goff	line	This part makes his finger go!	Whispower makes this thing go!	Which button makes this fing go	0.667		0.423		content-word		1
VO_Goff_Kommando - Shut yer gobs time ta get all sneakylike.ogg	GOF34	Kommando	Goff	line	Say your guns! Time to get all sneaky like!	Shut your gums! Time to get all sneaky-like.	Shut yer gobs time ta get all sneakylike	0.750		0.242		content-word		1
VO_Goff_Makari - Ready for fightin boss.ogg	GOF5	Makari the Grot	Goff	line	Ready for fighting boss?	Ready for fighting, boss!	Ready for fightin boss	0.250		0.053		case-punct-only		
VO_Goff_Meganob Ugrak - Make Gork proud boyz.ogg	GOF28	Meganob Ugrak	Goff	line	Michael Pratt Boys	My Gulp Pryor Boys.	Make Gork proud boyz	1.000		0.647		content-word		1
VO_Goff_Mekboy Gazmek-Orks are da best at scrappin.ogg	GOF25	Mekboy Gazmek	Goff	line	Orcs are the best at scrapping.	Orcs are the best at scrapping.						exact		
VO_Goff_Ork Boy - Oo wantz ta taste me choppa first.ogg	GOF7	Ork Boy	Goff	line	Who wants to taste me chopper first?	Who wants to taste me chopper first?	Oo wantz ta taste me choppa first	0.571		0.222		exact		
VO_Goff_Ork Nob - Orkz is made fer two fings only fightin and winnin.ogg	GOF20	Ork Nob	Goff	line	Ork's is made for two things only.  Fighting and winning!	Orcs is made for two things only: fighting and winning!	Orkz is made fer two fings only fightin and winnin	0.500		0.146		content-word		1
VO_Goff_Painboy Sniklaw - Thisll hurt you more than it hurts me.ogg	GOF26	PainBoy Sniklaw	Goff	line	Is alert you more than alert me?	It'll hurt you more than it'll hurt me.	Thisll hurt you more than it hurts me	0.500		0.333		content-word		1
VO_Goff_Rukkatrukk Squigbuggy_Go lil' chompa Do yer fing.ogg	GOF29	Rukkatrukk Squigbuggy	Goff	line	Go little chumpa, do your thing.	Go, little chumpa. Do your thing.						case-punct-only		
VO_Goff_Shoota Boy - Orky dakka is dead killy.ogg	GOF13	Shoota Boy	Goff	line	Okidaka is dead killie.	Walkie dacca is dead, Killy.	Orky dakka is dead killy	0.600		0.250		content-word		1
VO_Goff_Skarboy Nob - Watch that stupid gob of yours.ogg	GOF21	Skarboy Nob	Goff	line	What's that stupid gobba yours?	Watch that stupid gob of yours.	Watch that stupid gob of yours	0.500		0.200		content-word		1
VO_Goff_Slugga Boy - Stop movin Iz want ta hit yereds.ogg	GOF8	Slugga Boy	Goff	line	Stop moving! I just want to hit your head!	Stop moving! I just want to hit your head!	Stop movin Iz want ta hit yereds	0.857		0.423		exact		
VO_Goff_Spanner - Still not workin Den I hitz it arder.ogg	GOF14	Ork Spanner	Goff	line	Still not working, Ruth. Then I hit you in order.	Still not working. Then I hit it harder.	Still not workin Den I hitz it arder	0.875		0.414		content-word		1
VO_Goff_Stompa - STOMP.ogg	GOF39	Stompa	Goff	line	Stompa, Goff.	*gunshot*	STOMP					content-word	stage-direction	
VO_Goff_Stormboy - Once Iz get goin there aint no stoppin.ogg	GOF9	Stormboy	Goff	line	What's all this going? There ain't no storming!	Once all gets going, there ain't no storming!	Once Iz get goin there aint no stoppin	0.750		0.484		content-word		1
VO_Goff_Tankbusta - Saved me boomiest rokkit just fer you.ogg	GOF30	Tankbusta	Goff	line	Save me, boomiest rocket just for you.	Save me boomiest rocket just for you.	Saved me boomiest rokkit just fer you	0.429		0.129		case-punct-only		
VO_Goff_Veteran Stormboy - Are you ready to go boom.ogg	GOF9	Stormboy	Goff	line	Are you ready? Like a boom!	Are you ready? I go boom!	Are you ready to go boom	0.333		0.263		content-word		1
VO_Goff_Warbiker - Dont fink youz can outrunz me.ogg	GOF15	Warbiker	Goff	line	Don't think you can outsource me!	Don't think you can outfudge me!	Dont fink youz can outrunz me	0.667		0.333		content-word		1
VO_Goff_Zagstruk_attack.ogg	GOF2	Boss Zagstruk	Goff	attack	UGH!	*Gh*						content-word		1
VO_Goff_Zagstruk_cantDo.ogg	GOF2	Boss Zagstruk	Goff	cantdo	Don't do that!	Can't do that!						content-word		1
VO_Goff_Zagstruk_concede.ogg	GOF2	Boss Zagstruk	Goff	concede	We'll be back for more!	We'll be back for more!						exact		
VO_Goff_Zagstruk_death.ogg	GOF2	Boss Zagstruk	Goff	death	AHHHHH!	AHHHHH!						exact		
VO_Goff_Zagstruk_gen1.ogg	GOF2	Boss Zagstruk	Goff	gen1	If he's win, he's win. If he dies fighting, now don't count.	If we win, we win! If we die, we fight! That don't count!						content-word		1
VO_Goff_Zagstruk_gen2.ogg	GOF2	Boss Zagstruk	Goff	gen2	Here's the boss! Ha ha ha!	Who's the boss?						content-word		1
VO_Goff_Zagstruk_gen3.ogg	GOF2	Boss Zagstruk	Goff	gen3	RAPHIN STOPSY OAKS!	RAVENGE JOBS THE OAKS!						content-word		1
VO_Goff_Zagstruk_gen4.ogg	GOF2	Boss Zagstruk	Goff	gen4	Drop all of that bombs, boys!	Drop on them like bombs, boys!						content-word		1
VO_Goff_Zagstruk_gen5.ogg	GOF2	Boss Zagstruk	Goff	gen5	Good shoo-in! Now it's time for some chopping!	Good shooing. Last hour for some chobbing.						content-word		1
VO_Goff_Zagstruk_gen6.ogg	GOF2	Boss Zagstruk	Goff	gen6	No clever at might, you's made me angry.	Not clever that mate! You's made me angry!						content-word		1
VO_Goff_Zagstruk_gen7.ogg	GOF2	Boss Zagstruk	Goff	gen7	Too many parents alive!  Ah, that's easy to fix!	Too many bad ins alive! Well, that's easy to fix!						content-word		1
VO_Goff_Zagstruk_greet.ogg	GOF2	Boss Zagstruk	Goff	greet	Give race on Chloria!	"""Gaverage on Gloria!"""						content-word		1
VO_Goff_Zagstruk_hurry.ogg	GOF2	Boss Zagstruk	Goff	hurry	UGH, THE EMOGIES PROBATS OFF!	*Gasps* The Amogis Probataff!						content-word		1
VO_Goff_Zagstruk_intro.ogg	GOF2	Boss Zagstruk	Goff	intro	DEATH FROM ABOVE!	DEATH FROM ABOVE!						exact		
VO_Goff_Zagstruk_mirror.ogg	GOF2	Boss Zagstruk	Goff	mirror	Land with your boots first, boys!	Land with your boots first, boys!						exact		
VO_Goff_Zagstruk_threat.ogg	GOF2	Boss Zagstruk	Goff	threat	Yes, Goff's going right on my pointy stick!	Yes goals going right on me pointy stick.						content-word		1
VO_Goff_Zagstruk_vsTBC2.ogg	GOF2	Boss Zagstruk	Goff	vstbc2	MADE OF BATONS O' CROVED AND STOMPED!	May the barons all crammed and stomped.						content-word		1
VO_Goff_Zagstruk_vsTBC3.ogg	GOF2	Boss Zagstruk	Goff	vstbc3	Fight all you want, or cram your either way dick.	Fight all you want or crumb your either way, dick!						content-word		1
VO_Goff_Zagstruk_vsTBC4.ogg	GOF2	Boss Zagstruk	Goff	vstbc4	Mark Laws are made for chewing, and that's just what they'll do.	My claws are made for chewing, and that's just what they'll do.						content-word		1
VO_Goff_Zagstruk_wp.ogg	GOF2	Boss Zagstruk	Goff	wp	Ahh! Very ugly that was!	Ha! Very ugly that was!						content-word		1
VO_NOT USED_UM_Primaris Judiciar - You're not ready to take on a foe like me.ogg	UM32	Primaris Judiciar	Ultramarines	line	You're not ready to take on a foe like me.	You're not ready to take on a foe like me.	You're not ready to take on a foe like me	0.000		0.000		exact		
VO_Ork_Beast Snagga Boy - I'z gonna rip you ta bits! (Andrew).ogg	GOF78	Beast Snagga Boy	Goff	line	Oh, she's gonna rip you to bits.	Ozzy's gonna rip you to bits!	I'z gonna rip you ta bits!	0.500		0.368		content-word		1
VO_Ork_Beast Snagga Nob - Where's da biggest trophy_! (Andrew).ogg	GOF81	Beast Snagga Nob	Goff	line	Where's the biggest trophy?	Where's the biggest trophy?	Where's da biggest trophy_!	0.250		0.143		exact		
VO_Ork_Beastboss Morgrim_attack.ogg	GOF75	Beastboss Morgrim	Goff	attack	Ah!	*Gah*						content-word		1
VO_Ork_Beastboss Morgrim_cantDo.ogg	GOF75	Beastboss Morgrim	Goff	cantdo	Why not then?	What's happening?						content-word		1
VO_Ork_Beastboss Morgrim_concede.ogg	GOF75	Beastboss Morgrim	Goff	concede	This runs too much for us!	This was too much for us!						content-word		1
VO_Ork_Beastboss Morgrim_death.ogg	GOF75	Beastboss Morgrim	Goff	death	UGH!	*Groan*						content-word		1
VO_Ork_Beastboss Morgrim_gen1.ogg	GOF75	Beastboss Morgrim	Goff	gen1	My squid's got your game is on!	Me squeak's got your git in his eye!						content-word		1
VO_Ork_Beastboss Morgrim_gen2.ogg	GOF75	Beastboss Morgrim	Goff	gen2	Ha! Die is gonna be Srammled!	Ha! That is gonna be scrambled!						content-word		1
VO_Ork_Beastboss Morgrim_gen3.ogg	GOF75	Beastboss Morgrim	Goff	gen3	Next one better put up a good scrap.	Next one better put up a good scrap.						exact		
VO_Ork_Beastboss Morgrim_gen4.ogg	GOF75	Beastboss Morgrim	Goff	gen4	You fart like a tape-flip squig!	You fight like a teethless squig!						content-word		1
VO_Ork_Beastboss Morgrim_gen5.ogg	GOF75	Beastboss Morgrim	Goff	gen5	How's your trap, girl? Chloridoff!	Hold your trap or I'll claw it off!						content-word		1
VO_Ork_Beastboss Morgrim_gen6.ogg	GOF75	Beastboss Morgrim	Goff	gen6	Hold still! I was trying to chop ya!	Hold still! I was trying to chop ya!						exact		
VO_Ork_Beastboss Morgrim_gen7.ogg	GOF75	Beastboss Morgrim	Goff	gen7	Where's my squiggish soul?  Why's I'm woken?	Where's my squeaking straw? Why's I walking?						content-word		1
VO_Ork_Beastboss Morgrim_greet.ogg	GOF75	Beastboss Morgrim	Goff	greet	Okay, that's me on ya!	Hope you got some meat on ya!						content-word		1
VO_Ork_Beastboss Morgrim_hurry.ogg	GOF75	Beastboss Morgrim	Goff	hurry	No more thinking! There's nothing to do!	No more thinking! There's chopping to do!						content-word		1
VO_Ork_Beastboss Morgrim_intro.ogg	GOF75	Beastboss Morgrim	Goff	intro	Before I caught four in a good hunt, I was making one!	If I can't find a good hunt, I'm making one!						content-word		1
VO_Ork_Beastboss Morgrim_mirror.ogg	GOF75	Beastboss Morgrim	Goff	mirror	Time to bag me a priggan!	Time to bag me a big one!						content-word		1
VO_Ork_Beastboss Morgrim_threat.ogg	GOF75	Beastboss Morgrim	Goff	threat	You dead make it!	You did make it!						content-word		1
VO_Ork_Beastboss Morgrim_vsAstraMilitarum.ogg	GOF75	Beastboss Morgrim	Goff	vsastramilitarum	The humies always think they're smart, and then they get crumped!	The humans always think they're smart, and then they get crumped!						content-word		1
VO_Ork_Beastboss Morgrim_vsDarkAngels.ogg	GOF75	Beastboss Morgrim	Goff	vsdarkangels	Your feet wearing green makes you tough.  I'll show you what's what.	You think wearing green makes you tough? I'll show you what's what.						content-word		1
VO_Ork_Beastboss Morgrim_vsMozrog.ogg	GOF75	Beastboss Morgrim	Goff	vsmozrog	We could get a proper feast out of that squig!	We could get a proper feast out of that squig.						case-punct-only		
VO_Ork_Beastboss Morgrim_vsShadowsun.ogg	GOF75	Beastboss Morgrim	Goff	vsshadowsun	Special suits? We'll give them a good crump in anyway.	Special suits? We'll give them a good crump in anyway.						exact		
VO_Ork_Beastboss Morgrim_vsTyranids.ogg	GOF75	Beastboss Morgrim	Goff	vstyranids	More bugsies. Even grots won't eat that.	More bugsies! Even crotch won't eat that!						content-word		1
VO_Ork_Beastboss Morgrim_wp.ogg	GOF75	Beastboss Morgrim	Goff	wp	This one's proper killy boys!	This one's proper killy, boys.						case-punct-only		
VO_Ork_Beastboss on Squigosaur - Da hunt is on! Waaagh! (Andrew).ogg	GOF90	Beastboss on Squigosaur	Goff	line	The hunt is on!  WAAAARGH!	Da Hunt Asian!	Da hunt is on! Waaagh!	0.400		0.312		content-word		1
VO_Ork_Gargantuan Squiggoth - Mighty bellow (SFX).ogg	GOF96	Gargantuan Squiggoth	Goff	line	BOOM!	*BOOM*	Mighty bellow					case-punct-only	stage-direction	
VO_Ork_Goff_Big Choppa Nob - I'z gonna rip da world in ’arf.ogg	GOF_Big_Choppa_Nob	Big Choppa Nob	Goff	line	I'm just gonna rip the world in half!	I was gonna rip the world it off!	I'z gonna rip da world in ’arf	0.571		0.455		content-word		1
VO_Ork_Goff_Boss Nob - Yer face is callin' fer a good klawin'.ogg	GOF_Boss_Nob	Boss Nob	Goff	line	Your fight is going for good chlorine!	Your face is going for a good clawing.	Yer face is callin' fer a good klawin'	0.750		0.621		content-word		1
VO_Ork_Goff_Gordrang_Backup1.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	backup1	We're gonna trap the galaxy!	We're gonna trap the galaxy!						exact		
VO_Ork_Goff_Gordrang_Backup2.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	backup2	Even filthy grunts is more cunning than yous!	Even filthy gruts is more cunning than you!						content-word		1
VO_Ork_Goff_Gordrang_Backup3.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	backup3	You're gonna show me a fight.	You're gonna stomp your face!						content-word		1
VO_Ork_Goff_Gordrang_Backup4.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	backup4	None of your shooty bits will get past me all!	Now they all shoot me, bitch, who get past me over!						content-word		1
VO_Ork_Goff_Gordrang_Backup6.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	backup6	No fighting! We are some stumping!	No fighting! We had some stomping!						content-word		1
VO_Ork_Goff_Gordrang_attack.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	attack	Nyeh!	Blech!						content-word		1
VO_Ork_Goff_Gordrang_cantDo.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	cantdo	No can do, boss.	No can do, boss.						exact		
VO_Ork_Goff_Gordrang_concede.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	concede	BOOX IS NEVER BEYOND!	Hawks is never beaten!						content-word		1
VO_Ork_Goff_Gordrang_death.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	death	Grrrr.	*Rawr*						content-word		1
VO_Ork_Goff_Gordrang_gen1.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen1	Stomp them gates, then chop them, then stomp them again.	Stomp him, Gets! Then chop him! Then stomp him again!						content-word		1
VO_Ork_Goff_Gordrang_gen2.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen2	I'm kinda afraid of nothing.	Folks ain't afraid of nothing!						content-word		1
VO_Ork_Goff_Gordrang_gen3.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen3	Voice of Gordrang, is our strongholds, Yob.	Most of the land is our strong old job.						content-word		1
VO_Ork_Goff_Gordrang_gen4.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen4	Ha ha! War's life! What a good script!	Haha! Worst life! Good scrat!						content-word		1
VO_Ork_Goff_Gordrang_gen5.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen5	I get no mug in a bag!	Oi, git! No muckin' about!						content-word		1
VO_Ork_Goff_Gordrang_gen6.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen6	We was born to fight and win!	We was born to fight and win!						exact		
VO_Ork_Goff_Gordrang_gen7.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	gen7	The bigger the war, the bra!	The bigger, the more, the better!						content-word		1
VO_Ork_Goff_Gordrang_greet.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	greet	Ha ha ha! You look like some decent brown fish!	Ha ha ha! You looks like some decent practice!						content-word		1
VO_Ork_Goff_Gordrang_hurry.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	hurry	NEED TO FIGHT!	We need to fight!						content-word		1
VO_Ork_Goff_Gordrang_intro.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	intro	Let's stomp them good lads!	Let's stop them good, lads!						content-word		1
VO_Ork_Goff_Gordrang_mirror.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	mirror	There's only room for one boss here.	There's only room for one boss here.						exact		
VO_Ork_Goff_Gordrang_threat.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	threat	METUPA IS UNGREED FOR YOUR EIGHT!	Me chopper is angry for your head!						content-word		1
VO_Ork_Goff_Gordrang_vsAbaddon.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	vsabaddon	It's buggy boys with a proper script, come on in!	You Spunky boys want a proper scrap? Come on then!						content-word		1
VO_Ork_Goff_Gordrang_vsEliac.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	vseliac	Oi! None of them tricks! You stay stills, you hot and crummy-er!	Oi! None of them tricks! You stay still, short and cramp ya!						content-word		1
VO_Ork_Goff_Gordrang_vsGhazghkull.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	vsghazghkull	Let's see if you is as odd as I say you all.	Let's see if you is as hard as I say you are.						content-word		1
VO_Ork_Goff_Gordrang_vsOMaisos.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	vsomaisos	Let's see if your special saints can handle a good crumbin'!	Let's see if your special suits can handle a good cramping!						content-word		1
VO_Ork_Goff_Gordrang_wp.ogg	GOF_Warboss_Gordrang	Warboss Gordrang	Goff	wp	Voice is your cunning and brutal.	I sees you cunning and brutal.						content-word		1
VO_Ork_Goff_Krumpaklaw - I'z chop ya like yer dead meat.ogg	GOF_Krumpaklaw	Krumpaklaw	Goff	line	Oh, shut up you liar!  Dead meat!	I'll chop you like you dead meat!	I'z chop ya like yer dead meat	0.714		0.522		content-word		1
VO_Ork_Goff_Megablasta Deffkopta - Ere comes da show-stoppa.ogg	GOF19	Deffkopta	Goff	line	Here comes the showstopper!	Here comes the showstopper!	Ere comes da show-stoppa	0.800		0.300		exact		
VO_Ork_Goff_Rokkit Boy - Da only fing betta than dakka are boomy rokkits.ogg	GOF_Rokkit_Boy	Rokkit Boy	Goff	line	The only thing better than that guy are BOOMY Rokkits!	The only thing better than DACA are boomy rockets.	Da only fing betta than dakka are boomy rokkits	0.556		0.333		content-word		1
VO_Ork_Goff_Stikkboy - No time for finkin' only time for krumpin'.ogg	GOF_Stikkbomb_Boy	Stikkbomb Boy	Goff	line	I'm time for thinking, I'm the time for cramming.	No time for thinking, only time for cramping.	No time for finkin' only time for krumpin'	0.625		0.424		content-word		1
VO_Ork_Grot Orderly - Here boss I'z going back for more! (Andrew).ogg	GOF79	Grot Orderly	Goff	line	Here boss, let's go in back for more!	Here, boss. I was going back for more.	Here boss I'z going back for more!	0.429		0.192		content-word		1
VO_Ork_Grot on Bombsquig - Da boss always gots da best ideas! (Andrew).ogg	GOF82	Grot on Bombsquig	Goff	line	The boss always got the best ideas!	The boss always gots the best ideas!	Da boss always gots da best ideas!	0.429		0.222		content-word		1
