keys,type,zh_CN
Talent: Leman Russ,~,天赋：黎曼鲁斯
Talent: Manticore,~,天赋：曼提柯尔
Talent: Rogal Dorn Tank,~,天赋：罗加·多恩坦克
Talent: Scout Sentinel,~,天赋：侦察哨兵
Talent: Taurox Prime,~,天赋：陶洛克精英装甲车
Talent: Taurox,~,天赋：陶洛克装甲车
Talent: Valkyrie,~,天赋：瓦尔基里
Talent: Commissar Elan,~,天赋：政委·埃兰
Talent: Hektor Thenmann,~,天赋：赫克托·滕曼
Talent: Lord Solar Leontus,~,天赋：太阳领主莱昂图斯
Talent: Ophydian Destroyer,~,天赋：奥菲迪安毁灭者
Talent: Canoptek Plasmacyte,~,天赋：冥府质体
Talent: Canoptek Scarab,~,天赋：冥府圣甲虫
Talent: Canoptek Spyder,~,天赋：冥府蜘蛛
Talent: Canoptek Wraith,~,天赋：冥府幽灵
Talent: Chronomancer,~,天赋：时相术士
Talent: Cryptothrall,~,天赋：墓穴仆役
Talent: Damaged Hexmark,~,天赋：受损六印毁灭者
Talent: Damaged Plasmacyte,~,天赋：受损冥府质体
Talent: Deathmark,~,天赋：死印
Talent: Flayed One,~,天赋：剥皮者
Talent: Flayed Ones Pack,~,天赋：剥皮者兽群
Talent: Gauss Blaster Immortal,~,天赋：高斯冲击枪不朽者
Talent: Gauss Reaper Warrior,~,天赋：高斯收割者战士
Talent: Hexmark Destroyer,~,天赋：六印毁灭者
Talent: Immortals Phalanx,~,天赋：不朽者方阵
Talent: Lokhust Destroyer,~,天赋：洛库斯特毁灭者
Talent: Lokhust Heavy Destroyer,~,天赋：洛库斯特重型毁灭者
Talent: Lokhust Lord,~,天赋：洛库斯特领主
Talent: Lychguard,~,天赋：圣卫兵
Talent: Necron Lord,~,天赋：死灵领主
Talent: Necron Warrior,~,天赋：死灵战士
Talent: Plasmancer,~,天赋：等离子术士
Talent: Psychomancer,~,天赋：心灵术士
Talent: Royal Warden,~,天赋：皇家典狱官
Talent: Scarab Swarm,~,天赋：圣甲虫虫群
Talent: Skorpekh Destroyer,~,天赋：斯科尔佩赫毁灭者
Talent: Skorpekh Lord,~,天赋：斯科尔佩赫领主
Talent: Technomancer,~,天赋：技术术士
Talent: Tesla Carbine Immortal,~,天赋：特斯拉卡宾枪不朽者
Talent: Triarch Praetorian,~,天赋：三王禁卫
Talent: Vargard Obyron,~,天赋：瓦加德·奥比伦
Talent: Canoptek Reanimator,~,天赋：冥府复生者
Talent: Earthquake,~,天赋：地震
Talent: Immortal Beams,~,天赋：不朽光束
Talent: Solar Storm,~,天赋：太阳风暴
Talent: Annihilation Command,~,天赋：歼灭指令
Talent: Awakened Dynasty,~,天赋：觉醒王朝
Talent: Awakening Obelisk,~,天赋：苏醒方尖碑
Talent: Conquering Tyrant,~,天赋：征服暴君
Talent: Curse of the Phaeron,~,天赋：法老诅咒
Talent: Dimensional Breach,~,天赋：次元裂隙
Talent: Dimensional Corridor,~,天赋：次元走廊
Talent: Disentegration Capacitors,~,天赋：解离电容
Talent: Disruption Blades,~,天赋：扰乱之刃
Talent: Divination Menhir,~,天赋：占卜石柱
Talent: Extermination Protocols,~,天赋：歼灭协议
Talent: Hardwired Destruction,~,天赋：硬接线毁灭
Talent: Hyperlogical Strategist,~,天赋：超逻辑战略家
Talent: Immortal Pride,~,天赋：不朽之傲
Talent: Implacable Conqueror,~,天赋：无情征服者
Talent: Indomitable Will,~,天赋：不屈意志
Talent: Inescapable Retribution,~,天赋：无法逃脱的惩罚
Talent: Lord of the Storm,~,天赋：风暴领主
Talent: Master Chronomancer,~,天赋：时相大师
Talent: Methodical Destruction,~,天赋：有条不紊的毁灭
Talent: Particle Whip,~,天赋：粒子鞭
Talent: Protection Protocol,~,天赋：保护协议
Talent: Reanimate,~,天赋：复生
Talent: Reanimation Protocol,~,天赋：复生协议
Talent: Reconstitution Protocols,~,天赋：重构协议
Talent: Relentless Advance,~,天赋：无情推进
Talent: Relentless March,~,天赋：无情进军
Talent: Resurrection Orb,~,天赋：复活宝珠
Talent: Resurrection Vault,~,天赋：复活圣库
Talent: Scythe Assault,~,天赋：镰刀突击
Talent: Self-Destruction,~,天赋：自我毁灭
Talent: Solar Pulse,~,天赋：太阳脉冲
Talent: Spyder Nest,~,天赋：蜘蛛巢
Talent: Tomb World,~,天赋：墓穴世界
Talent: Annihilation Barge,~,天赋：歼灭驳船
Talent: Command Barge,~,天赋：指挥驳船
Talent: Doom Scythe,~,天赋：末日镰刀
Talent: Doomstalker,~,天赋：末日行者
Talent: Ghost Ark,~,天赋：幽灵方舟
Talent: Monolith,~,天赋：独石碑
Talent: Night Scythe,~,天赋：夜镰
Talent: Tomb Blade,~,天赋：墓刃
Talent: Triarch Stalker,~,天赋：三王猎手
Talent: Nemesor Zahndrekh,~,天赋：内默萨·赞德雷克
Talent: Diviner,~,天赋：占卜师
Talent: Ramatekh The Cruel,~,天赋：残忍者拉玛泰克
Talent: Lord Commander,~,天赋：统帅
Talent: Undying Legions,~,天赋：不朽军团
Talent: Awakened Obelisk,~,天赋：觉醒方尖碑
Talent: Autarch,~,天赋：总督
Talent: Death Spinner Warp Spider,~,天赋：死亡纺锤扭曲蜘蛛
Talent: Dire Avenger Exarch,~,天赋：复仇者长老
Talent: Dire Avenger,~,天赋：复仇者
Talent: Farseer,~,天赋：先知
Talent: Fire Dragon,~,天赋：火龙
Talent: Guardian Defender,~,天赋：防卫守护者
Talent: Howling Banshee Exarch,~,天赋：嚎叫女妖长老
Talent: Howling Banshee,~,天赋：嚎叫女妖
Talent: Orian Laratharjos,~,天赋：奥里安·拉拉萨约斯
Talent: Ranger,~,天赋：游侠
Talent: Spiritseer Qelenaris,~,天赋：灵先知·奎莱纳里斯
Talent: Spiritseer,~,天赋：灵先知
Talent: Storm Guardian,~,天赋：风暴守护者
Talent: Striking Scorpion Exarch,~,天赋：突击蝎子长老
Talent: Striking Scorpion,~,天赋：突击蝎子
Talent: Swooping Hawk Exarch,~,天赋：俯冲猎鹰长老
Talent: Swooping Hawk,~,天赋：俯冲猎鹰
Talent: Vengeful Wraithblade,~,天赋：复仇幽刃
Talent: Veteran Guardian,~,天赋：老兵守护者
Talent: Warlock,~,天赋：术士
Talent: Warp Spider Exarch,~,天赋：扭曲蜘蛛长老
Talent: Warp Spider,~,天赋：扭曲蜘蛛
Talent: Weapons Platform,~,天赋：武器平台
Talent: Winged Autarch,~,天赋：有翼总督
Talent: Witchblade Warlock,~,天赋：巫刃术士
Talent: Wraithblade,~,天赋：幽刃
Talent: Wraithguard,~,天赋：幽卫
Talent: Yrlla the Huntress,~,天赋：女猎手伊尔拉
Talent: Avatar of Khaine,~,天赋：凯恩化身
Talent: Blackout,~,天赋：黑幕
Talent: Infinity Circuit Overload,~,天赋：无限回路过载
Talent: Webway Rift,~,天赋：网道裂隙
Talent: Aerial Dominion,~,天赋：空中霸权
Talent: Ahnakh-Yth Shrine,~,天赋：阿纳赫-伊斯圣殿
Talent: Aspect Shrine,~,天赋：支派圣殿
Talent: Banshee Mask,~,天赋：女妖面具
Talent: Bladestorm,~,天赋：剑刃风暴
Talent: Cosmic Serpent,~,天赋：宇宙巨蛇
Talent: Craftworld Convergence,~,天赋：方舟世界汇聚
Talent: Dance of Death,~,天赋：死亡之舞
Talent: Deadly Ambush,~,天赋：致命伏击
Talent: Devoted of Khaine,~,天赋：凯恩信徒
Talent: Eldritch Storm,~,天赋：秘术风暴
Talent: Evasive Manoeuvre,~,天赋：规避机动
Talent: Fate Inescapable,~,天赋：宿命难逃
Talent: Fire and Fade,~,天赋：打了就跑
Talent: Flickerjump,~,天赋：闪烁跳跃
Talent: Forewarned,~,天赋：预警
Talent: Graceful Avoidance,~,天赋：灵巧规避
Talent: Hosts of the Dead,~,天赋：亡者军团
Talent: Infinity Circuit,~,天赋：无限回路
Talent: Inspiring Legacy,~,天赋：激励传承
Talent: Nightshade Interceptors,~,天赋：夜影拦截者
Talent: Path of Command,~,天赋：统御之道
Talent: Path of the Seer,~,天赋：先知之道
Talent: Reclaim the Stars,~,天赋：夺回群星
Talent: Storm of Silence,~,天赋：寂静风暴
Talent: Sudden Assault,~,天赋：突袭
Talent: Wailing Doom,~,天赋：恸哭毁灭
Talent: Webway Entrance,~,天赋：网道入口
Talent: Webway Gate,~,天赋：网道之门
Talent: Webway Incursion,~,天赋：网道入侵
Talent: Whirling Death,~,天赋：回旋之死
Talent: Wild Host,~,天赋：狂野宿主
Talent: Will of Asuryan,~,天赋：阿斯尤扬之意志
Talent: Wrath of Khaine,~,天赋：凯恩之怒
Talent: Bright Lance Vyper,~,天赋：亮枪蝰蛇
Talent: Crimson Hunter,~,天赋：猩红猎手
Talent: Falcon,~,天赋：猎鹰
Talent: Farseer Skyrunner,~,天赋：先知天行者
Talent: Fire prism,~,天赋：火焰棱镜
Talent: Hemlock Wraithfighter,~,天赋：铁杉魂飞者
Talent: Hornet,~,天赋：大黄蜂
Talent: Night Spinner,~,天赋：夜纺者
Talent: Nuadhu Fireheart,~,天赋：努阿杜·火心
Talent: Shining Spear Exarch,~,天赋：闪耀之矛长老
Talent: Shining Spear,~,天赋：闪耀之矛
Talent: Shroud Runner,~,天赋：隐匿行者
Talent: Vyper,~,天赋：蝰蛇
Talent: War Walker,~,天赋：战争行者
Talent: Warlock Skyrunner,~,天赋：术士天行者
Talent: Wave Serpent,~,天赋：波浪蛇
Talent: Windrider,~,天赋：风行者
Talent: Wraithknight,~,天赋：幽骑士
Talent: Wraithlord,~,天赋：幽尊
Talent: Anvirr Keltoc,~,天赋：安维尔·凯尔托克
Talent: Eliac Zephyrblade,~,天赋：伊利亚克·泽菲刃
Talent: Medreyal Ghaelyn,~,天赋：梅德雷亚尔·盖林
Talent: Jain Zar,~,天赋：杰因·扎尔
Talent: Lhykhis,~,天赋：莱基斯
Talent: Adelaide the Serene,~,天赋：宁静的阿德莱德
Talent: Aestred-Thurga,~,天赋：艾斯特雷德-瑟加
Talent: Amalia Novena,~,天赋：阿玛莉亚·诺维娜
Talent: Arco-Flagellant,~,天赋：电鞭苦修者
Talent: Armorium Cherub,~,天赋：军械库小天使
Talent: Battle Sister Gunner,~,天赋：战斗修女枪手
Talent: Battle Sister,~,天赋：战斗修女
Talent: Canoness,~,天赋：教长
Talent: Celestian Sacresant,~,天赋：天界修女圣卫
Talent: Celestian Superior,~,天赋：天界修女长
Talent: Celestian,~,天赋：天界修女
Talent: Crusader,~,天赋：十字军战士
Talent: Death Cult Assassin,~,天赋：死亡教派刺客
Talent: Dialogus,~,天赋：执事
Talent: Dominion Superior,~,天赋：多米尼恩修女长
Talent: Dominion,~,天赋：多米尼恩修女
Talent: Ephrael Stern,~,天赋：埃弗拉尔·斯特恩
Talent: Hospitaller,~,天赋：医疗修女
Talent: Imagifier,~,天赋：圣像师
Talent: Ministorum Priest,~,天赋：国教牧师
Talent: Missionary,~,天赋：传教士
Talent: Preacher,~,天赋：布道者
Talent: Retributor,~,天赋：惩戒修女
Talent: Sacred Rose Sister,~,天赋：圣玫瑰修女
Talent: Saint Celestine,~,天赋：圣塞莱斯廷
Talent: Seraphim,~,天赋：炽天使
Talent: Simulacrum Bearer,~,天赋：圣像持有者
Talent: Simulacrum Imperialis,~,天赋：帝皇圣像
Talent: Sister Dogmata,~,天赋：教义修女
Talent: Sister Novitiate,~,天赋：见习修女
Talent: Sister Superior,~,天赋：修女长
Talent: Sisters Repentia,~,天赋：忏悔修女
Talent: Triumph of Saint Katherine,~,天赋：圣凯瑟琳凯旋
Talent: Zephyrim Superior,~,天赋：泽菲里姆修女长
Talent: Zephyrim,~,天赋：泽菲里姆修女
Talent: Beacon of Faith,~,天赋：信仰灯塔
Talent: Blade of Faith,~,天赋：信仰之刃
Talent: Cleansing Flames,~,天赋：净化之焰
Talent: Conviction of Faith,~,天赋：坚定信仰
Talent: Daemonbreaker,~,天赋：破魔者
Talent: Defenders of the Faith,~,天赋：信仰捍卫者
Talent: Devout Serenity,~,天赋：虔诚宁静
Talent: Devout Warriors,~,天赋：虔诚战士
Talent: Disrupted Sanctuary,~,天赋：受扰圣所
Talent: Divine Intervention,~,天赋：神圣干预
Talent: Emperor's Judgement,~,天赋：帝皇的审判
Talent: Fiery Conviction,~,天赋：炽热信念
Talent: Furious Reprisal,~,天赋：狂怒报复
Talent: Fury of the Righteous,~,天赋：义人之怒
Talent: Guidance of the Saints,~,天赋：圣徒指引
Talent: Hallowed Martyrs,~,天赋：圣洁殉道者
Talent: Holy Fire,~,天赋：圣火
Talent: Hymn of Battle,~,天赋：战斗圣歌
Talent: Imperial Creed,~,天赋：帝国信条
Talent: Inspiring Oratory,~,天赋：激励演说
Talent: Lead the Righteous,~,天赋：引领义人
Talent: Miraculous Feat,~,天赋：奇迹壮举
Talent: Prayer,~,天赋：祷文
Talent: Purgator Mirabilis,~,天赋：奇迹涤罪者
Talent: Raging Storm,~,天赋：狂暴风暴
Talent: Relics of Saint Katherine,~,天赋：圣凯瑟琳圣物
Talent: Righteous Repugnance,~,天赋：义愤
Talent: Rite of Restoration,~,天赋：复原仪式
Talent: Sacred Altar,~,天赋：圣坛
Talent: Sacred Rose,~,天赋：圣玫瑰
Talent: Shrine Bombardement,~,天赋：圣殿轰击
Talent: Shrineworld,~,天赋：圣殿世界
Talent: Slay the Heretic,~,天赋：斩杀异端
Talent: Spirit of the Martyr,~,天赋：殉道者之灵
Talent: Trial of Suffering,~,天赋：苦难试炼
Talent: Castigator,~,天赋：惩戒者
Talent: Exorcist,~,天赋：驱魔者
Talent: Immolator,~,天赋：焚化者
Talent: Mortifier,~,天赋：苦修机
Talent: Paragon Warsuit,~,天赋：典范战甲
Talent: Penitent Engine,~,天赋：忏悔引擎
Talent: Sororitas Rhino,~,天赋：修女犀牛
Talent: Celestian Sacresant Aveline,~,天赋：天界修女圣卫·阿芙琳
Talent: Erika Luminas,~,天赋：埃丽卡·卢米纳斯
Talent: Junith Eruita,~,天赋：朱妮丝·埃鲁伊塔
Talent: Morvenn Vahl,~,天赋：莫文·瓦尔
Talent: Moment of Grace,~,天赋：恩典时刻
Talent: Broadside Battlesuit,~,天赋：宽面甲
Talent: Coldstar Battlesuit,~,天赋：冷星甲
Talent: Crisis Battlesuit,~,天赋：危机甲
Talent: Crisis Bodyguard,~,天赋：危机护卫
Talent: Enforcer Battlesuit,~,天赋：执法者甲
Talent: Riptide Battlesuit,~,天赋：激流甲
Talent: Stealth Battlesuit,~,天赋：隐匿甲
Talent: Stealth Shas’ui,~,天赋：隐匿火氏士
Talent: Stormsurge Battlesuit,~,天赋：风暴甲
Talent: Grav Inhibitor Drone,~,天赋：重力抑制无人机
Talent: Guardian Drone,~,天赋：守护无人机
Talent: Gun Drone,~,天赋：枪无人机
Talent: Marker Drone,~,天赋：标记无人机
Talent: Missile Drone,~,天赋：导弹无人机
Talent: Sniper Drone,~,天赋：狙击无人机
Talent: Stealth Drone,~,天赋：潜行无人机
Talent: Aunshi Ethereal,~,天赋：昂希以太
Talent: Breacher Fire Warrior,~,天赋：突破者火氏战士
Talent: Breacher ShasUi,~,天赋：突破者火氏士
Talent: Cadre Fireblade,~,天赋：火刃干部
Talent: Darkstrider,~,天赋：暗行者
Talent: Fire Warrior Sniper,~,天赋：火氏狙击手
Talent: Fire Warrior,~,天赋：火氏战士
Talent: Firesight Marksman,~,天赋：锐眼射手
Talent: Flesh Shaper,~,天赋：血肉塑形者
Talent: Honoured Ethereal,~,天赋：荣耀以太
Talent: Kroot Carnivore,~,天赋：克鲁特食肉者
Talent: Kroot Hound,~,天赋：克鲁特猎犬
Talent: Krootox Rampager,~,天赋：克鲁特狂暴兽
Talent: Krootox Rider,~,天赋：克鲁特骑手
Talent: Lone-spear,~,天赋：独矛
Talent: Pathfinder,~,天赋：探路者
Talent: Strike Team,~,天赋：打击小队
Talent: Trail Shaper,~,天赋：踪迹塑形者
Talent: Vespid Stingwings,~,天赋：黄蜂族刺翼
Talent: Electro-Static Interference,~,天赋：静电干扰
Talent: Radiation Storm,~,天赋：辐射风暴
Talent: Solar Eclipse,~,天赋：日食
Talent: Burgeoning Empire,~,天赋：昌盛帝国
Talent: Coordinated Engagement,~,天赋：协同作战
Talent: Deploy Anchors,~,天赋：部署锚桩
Talent: Drone Companion,~,天赋：无人机伴生
Talent: Dynamic Offensive,~,天赋：动态攻势
Talent: Emergency Dispensation,~,天赋：紧急豁免
Talent: Ethereal Supreme,~,天赋：至尊以太
Talent: Experimental Drone,~,天赋：实验无人机
Talent: For the Greater Good,~,天赋：为至高善意
Talent: Fortified Positions,~,天赋：坚固阵地
Talent: Grisly Feast,~,天赋：血腥盛宴
Talent: Hero of the Empire,~,天赋：帝国英雄
Talent: Hidden Hunters,~,天赋：隐匿猎手
Talent: Homing Beacon,~,天赋：归航信标
Talent: Hunters Instincts,~,天赋：猎手本能
Talent: Inspired to Greatness,~,天赋：伟业感召
Talent: Kauyon Tactics,~,天赋：考恩战术
Talent: Priority Target,~,天赋：优先目标
Talent: Pulse Onslaught,~,天赋：脉冲猛攻
Talent: Razorshark Strike,~,天赋：剃刀鲨突袭
Talent: Recon Sweep,~,天赋：侦察扫荡
Talent: Relentless Fusillade,~,天赋：无情齐射
Talent: Saviour Protocolst,~,天赋：救世协议
Talent: Sense of Stone,~,天赋：石之感知
Talent: Serene Unifier,~,天赋：宁静统合者
Talent: Shield Generator,~,天赋：护盾发生器
Talent: Storm of Fire,~,天赋：风暴之火
Talent: Structural Analyzer,~,天赋：结构分析器
Talent: Technological Supremacy,~,天赋：科技霸权
Talent: Thundering Rampage,~,天赋：雷霆暴怒
Talent: Tidewall Droneport,~,天赋：潮墙无人机港
Talent: Tidewall Gunrig,~,天赋：潮墙炮架
Talent: Valued Sacrifice,~,天赋：崇高牺牲
Talent: Watch Tower,~,天赋：瞭望塔
Talent: Zephyr's Grace,~,天赋：和风之恩
Talent: DS8 Support Turret,~,天赋：支援炮塔
Talent: Devilfish,~,天赋：魔鬼鱼
Talent: Hammerhead,~,天赋：锤头鲨
Talent: Longstrike,~,天赋：长袭者
Talent: Piranha,~,天赋：食人鲳
Talent: Razorshark,~,天赋：剃刀鲨
Talent: Sky Ray Gunship,~,天赋：天雷炮艇
Talent: Sun Shark Bomber,~,天赋：日鲨轰炸机
Talent: Aun'Va,~,天赋：昂瓦
Talent: Commander O'Maisos,~,天赋：奥迈索斯指挥官
Talent: Shadowsun,~,天赋：影阳
Talent: War Shaper,~,天赋：战争塑形者
Talent: Hive Guard,~,天赋：蜂巢卫兵
Talent: Crushing Claws,~,天赋：粉碎之爪
Talent: Terror of Vardenghast,~,天赋：瓦登加斯特之恐
Talent: Barbgaunt,~,天赋：倒刺根
Talent: Biovore,~,天赋：孢子兽
Talent: Broodlord,~,天赋：繁育领主
Talent: Deathleaper,~,天赋：死神猎手
Talent: Gargoyle,~,天赋：石像鬼
Talent: Genestealer,~,天赋：基因窃取者
Talent: Hormagaunt,~,天赋：荷尔马根
Talent: Lictor,~,天赋：利克特
Talent: Mucolid Spore,~,天赋：黏液孢子
Talent: Neurogaunt Nodebeast,~,天赋：神经节虫巢兽
Talent: Neurogaunt,~,天赋：神经节虫
Talent: Neuroloid,~,天赋：神经虫体
Talent: Pyrovore,~,天赋：喷焰兽
Talent: Ravener,~,天赋：掠夺虫
Talent: Ripper Swarm,~,天赋：撕裂虫群
Talent: Spore Mine,~,天赋：孢子雷
Talent: Stranded Termagant,~,天赋：搁浅泰玛根
Talent: Termagant Brood,~,天赋：泰玛根巢群
Talent: Termagant,~,天赋：泰玛根
Talent: Tyranid Prime,~,天赋：泰伦首相
Talent: Tyranid Warrior,~,天赋：泰伦战士
Talent: Tyrant Guard,~,天赋：暴君卫队
Talent: Venomthrope,~,天赋：毒瘴兽
Talent: Von Ryans Leaper,~,天赋：瑞恩跳跃者
Talent: Zoanthrope,~,天赋：兽人脑
Talent: Carnifex,~,天赋：屠夫兽
Talent: Exocrine,~,天赋：外泌兽
Talent: Harpy,~,天赋：鹰身女妖
Talent: Haruspex,~,天赋：内脏占卜者
Talent: Hive Crone,~,天赋：蜂巢老妪
Talent: Hive Tyrant,~,天赋：蜂巢暴君
Talent: Maleceptor,~,天赋：灵能受体兽
Talent: Mawloc,~,天赋：巨口虫
Talent: Neurotyrant,~,天赋：神经元暴君
Talent: Norn Emissary,~,天赋：诺恩使者
Talent: Psychophage,~,天赋：噬魂兽
Talent: Screamer-Killer,~,天赋：尖啸杀手
Talent: Sporocyst,~,天赋：孢子囊
Talent: Tyrannocyte,~,天赋：泰伦孢囊
Talent: Tyrannofex,~,天赋：泰伦巨兽
Talent: Winged Tyrant,~,天赋：有翼暴君
Talent: Acid Rain,~,天赋：酸雨
Talent: Blazing Biomass,~,天赋：炽燃生物质
Talent: Sweeping Infestation,~,天赋：蔓延虫灾
Talent: Adrenal Surge,~,天赋：肾上腺激涌
Talent: Aerial Seeding,~,天赋：空中播种
Talent: Alpha Warrior,~,天赋：阿尔法战士
Talent: Ambush Predator,~,天赋：伏击掠食者
Talent: Apex Predator,~,天赋：顶级掠食者
Talent: Armoured Exoskeleton,~,天赋：装甲外骨骼
Talent: Augmented Ferocity,~,天赋：强化狂暴
Talent: Bestial Rage,~,天赋：兽性狂怒
Talent: Bounding Leap,~,天赋：腾跃
Talent: Brood Progenitor,~,天赋：巢群繁育者
Talent: Darkened Skies,~,天赋：昏暗天空
Talent: Devourer Cannon,~,天赋：吞噬者炮
Talent: Digestion Pool,~,天赋：消化池
Talent: Encircle the Prey,~,天赋：合围猎物
Talent: Enhanced Organism,~,天赋：强化生物体
Talent: Feeding Frenzy,~,天赋：进食狂潮
Talent: Hardened Biology,~,天赋：坚韧躯壳
Talent: Hive Commander,~,天赋：蜂巢指挥官
Talent: Hive Fleet Leviathan,~,天赋：蜂巢舰队利维坦
Talent: Hyper-adaptation,~,天赋：超速适应
Talent: Infestation Node,~,天赋：侵染节点
Talent: Infinite Biomorphologies,~,天赋：无限生物形态
Talent: Leviathans Tendrils,~,天赋：利维坦触须
Talent: Overwhelming Swarm,~,天赋：压倒性虫群
Talent: Predator Instincts,~,天赋：掠食者本能
Talent: Rapacious Hunger,~,天赋：贪婪饥渴
Talent: Ravenous Hunter,~,天赋：饥渴猎手
Talent: Spirit Leech,~,天赋：灵魂吸取
Talent: Sporecaster Biostructure,~,天赋：孢子投掷生物结构
Talent: Swarming Masses,~,天赋：虫群大军
Talent: Synaptic Imperative,~,天赋：突触律令
Talent: Toxic Entanglement,~,天赋：毒素缠绕
Talent: Toxic Miasma,~,天赋：毒雾
Talent: Toxic Vapours,~,天赋：毒气
Talent: Tyranid Invasion,~,天赋：泰伦入侵
Talent: Neurothrope,~,天赋：神经脑虫
Talent: SwarmLord,~,天赋：虫群领主
Talent: Tervigon,~,天赋：繁育母兽
Talent: Protective Bio-structure,~,天赋：防护生物结构
Companion 1: Logan Grimnar,~,伴生 1：洛根·格里姆纳
Companion 1: Aggressor,~,伴生 1：侵略者
Companion 1: Arjac Rockfist,~,伴生 1：阿尔贾克·岩拳
Companion 1: Blackmane Aggressor,~,伴生 1：黑鬃突击者
Companion 1: Blackmane Reiver,~,伴生 1：黑鬃掠夺者
Companion 1: Blood Claw Pack Leader,~,伴生 1：血爪兽群首领
Companion 1: Blood Claw,~,伴生 1：血爪
Companion 1: Deathwolf Scout,~,伴生 1：死亡狼侦察兵
Companion 1: Fenrisian Wolf,~,伴生 1：芬里斯狼
Companion 1: Frost Claw Wulfen,~,伴生 1：霜爪狼人
Companion 1: Fyrri Askar,~,伴生 1：菲里·阿斯卡尔
Companion 1: Grey Hunter Pack Leader,~,伴生 1：灰猎手兽群首领
Companion 1: Grey Hunter,~,伴生 1：灰猎手
Companion 1: Hrolf the Ironhowl,~,伴生 1：铁嚎·赫罗尔夫
Companion 1: Hunting Wolf,~,伴生 1：猎狼
Companion 1: Iron Priest,~,伴生 1：铁祭司
Companion 1: Long Fang,~,伴生 1：长牙
Companion 1: Morkai Eliminator,~,伴生 1：莫凯歼击者
Companion 1: Terminator Rune Priest,~,伴生 1：终结者符文祭司
Companion 1: Thunderwolf Cavalry Pack Leader,~,伴生 1：雷狼骑兵兽群首领
Companion 1: Thunderwolf Cavalry,~,伴生 1：雷狼骑兵
Companion 1: Tyrnak and Fenrir,~,伴生 1：提尔纳克与芬里尔
Companion 1: Wolf Guard Battle Leader,~,伴生 1：狼卫战斗领袖
Companion 1: Wolf Guard Headtaker,~,伴生 1：狼卫斩首者
Companion 1: Wolf Guard Terminator Pack Leader,~,伴生 1：狼卫终结者兽群首领
Companion 1: Wolf Guard Terminator,~,伴生 1：狼卫终结者
Companion 1: Wolf Priest,~,伴生 1：狼牧师
Companion 1: Wulfen Pack Leader,~,伴生 1：狼人兽群首领
Companion 1: Wulfen,~,伴生 1：狼人
Companion 1: Default Conditions,~,伴生 1：默认条件
Companion 1: Everstorm,~,伴生 1：永暴
Companion 1: First Light,~,伴生 1：初光
Companion 1: Full moon,~,伴生 1：满月
Companion 1: Anvil of Endurance,~,伴生 1：坚忍之砧
Companion 1: Birth of a Saga,~,伴生 1：传奇的诞生
Companion 1: Bjorn's Shrine,~,伴生 1：比约恩的神龛
Companion 1: Canis Helix,~,伴生 1：卡尼斯螺旋
Companion 1: Death Shun,~,伴生 1：死亡闪避
Companion 1: Embers of Prospero,~,伴生 1：普罗斯佩罗余烬
Companion 1: Fenrisian Blizzard,~,伴生 1：芬里斯暴风雪
Companion 1: Fenrisian Monstrosities,~,伴生 1：芬里斯巨兽
Companion 1: Fenrisian Runestones,~,伴生 1：芬里斯符文石
Companion 1: Fenrisian Wolfpack,~,伴生 1：芬里斯狼群
Companion 1: Halls of Legend,~,伴生 1：传奇殿堂
Companion 1: High King of Fenris,~,伴生 1：芬里斯至高王
Companion 1: High Rune Priest,~,伴生 1：高阶符文祭司
Companion 1: Hordeslayer,~,伴生 1：灭群者
Companion 1: Hunter's Guile,~,伴生 1：猎人诡计
Companion 1: Legendary Tenacity,~,伴生 1：传奇坚韧
Companion 1: Let Loose,~,伴生 1：释放
Companion 1: Living Lightning,~,伴生 1：活体闪电
Companion 1: Murderous Hurricane,~,伴生 1：致命飓风
Companion 1: Orbital Defences,~,伴生 1：轨道防御
Companion 1: Pack of One,~,伴生 1：孤狼兽群
Companion 1: Proper Hunt,~,伴生 1：正式狩猎
Companion 1: Raid Tactics,~,伴生 1：突袭战术
Companion 1: Saga of the Bold,~,伴生 1：无畏者传奇
Companion 1: Savage Legacy,~,伴生 1：野蛮传承
Companion 1: Tempest's Wrath,~,伴生 1：暴风之怒
Companion 1: The Fang,~,伴生 1：巨牙
Companion 1: Unbridled Fury,~,伴生 1：无拘狂怒
Companion 1: War Howl,~,伴生 1：战嚎
Companion 1: Bjorn the Fell-Handed,~,伴生 1：比约恩·凶爪
Companion 1: Blackmane Inceptor,~,伴生 1：黑鬃疾袭者
Companion 1: Fenrisian Drop Pod,~,伴生 1：芬里斯空降舱
Companion 1: Land Rider,~,伴生 1：兰德骑手
Companion 1: Murderfang,~,伴生 1：弑杀之牙
Companion 1: Stormwolf,~,伴生 1：风暴狼
Companion 1: Venerable Dreadnought,~,伴生 1：尊贵无畏机甲
Companion 1: Vindicator,~,伴生 1：复仇者
Companion 1: Wulfen Dreadnought,~,伴生 1：狼人无畏机甲
Companion 1: Njal Stormcaller,~,伴生 1：尼亚尔·风暴召唤者
Companion 1: Ragnar Blackmane,~,伴生 1：拉格纳·黑鬃
Companion 1: Lieutenant Titus,~,伴生 1：提图斯中尉
Companion 1: Desolation Marine,~,伴生 1：荒芜战士
Companion 1: 2nd Company Terminator,~,伴生 1：第二连终结者
Companion 1: Aggressor Sergeant,~,伴生 1：突击者军士
Companion 1: Antaro Chronus,~,伴生 1：安塔罗·克罗努斯
